Index,Title,Year,Synopsis,Image Filename,URL
1,Honeyland,2019,"Nestled in an isolated mountain region deep within the Balkans, Hatidze Muratova lives with her ailing mother in a village",honeyland.jpg,https://www.rottentomatoes.com/m/honeyland/
2,Minding the Gap,2018,"Compiling over 12 years of footage shot in his hometown of Rockford, IL, in MINDING THE GAP, Bing Liu searches",minding_the_gap.jpg,https://www.rottentomatoes.com/m/minding_the_gap/
3,Glen Campbell: I'll Be Me,2014,"In 2011, music legend Glen Campbell set out on an unprecedented tour across America. They thought it would last 5",glen_campbell_ill_be_me.jpg,https://www.rottentomatoes.com/m/glen_campbell_ill_be_me/
4,Parasite (Gisaengchung),2019,Bong Joon Ho brings his work home to Korea in this pitch-black modern fairytale. Meet the Park Family: the picture,parasite_2019.jpg,https://www.rottentomatoes.com/m/parasite_2019/
5,Shoplifters (Manbiki kazoku),2018,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At",shoplifters.jpg,https://www.rottentomatoes.com/m/shoplifters/
6,Apollo 11,2019,Apollo 11 is a cinematic space event film fifty years in the making. Featuring never-before-seen large-format film footage of one,apollo_11_2019.jpg,https://www.rottentomatoes.com/m/apollo_11_2019/
7,Amazing Grace,2019,Concert footage from 1972 of Aretha Franklin performing songs from the best-selling gospel album at the New Temple Missionary Baptist,amazing_grace_2018.jpg,https://www.rottentomatoes.com/m/amazing_grace_2018/
8,Jiro Dreams of Sushi,2012,"Jiro Dreams of Sushi is the story of 85 year-old Jiro Ono, considered by many to be the world's greatest",jiro_dreams_of_sushi.jpg,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi/
9,Gloria,2014,"Gloria is a ""woman of a certain age"" but still feels young. Though lonely, she makes the best of her",gloria_2012.jpg,https://www.rottentomatoes.com/m/gloria_2012/
10,Tea With the Dames (Nothing Like a Dame),2018,"What happens when four legends of British stage and screen get together? Dame Maggie Smith, Dame Judi Dench, Dame Eileen",tea_with_the_dames.jpg,https://www.rottentomatoes.com/m/tea_with_the_dames/
11,Portrait of a Lady on Fire (Portrait de la jeune fille en feu),2020,"France, 1760. Marianne is commissioned to paint the wedding portrait of Héloïse, a young woman who has just left the",portrait_of_a_lady_on_fire.jpg,https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire/
12,Blackfish,2013,"Magnolia Pictures invites you and a guest to attend an advance screening of BLACKFISH, an eye-opening documentary directed by Gabriela",blackfish_2013.jpg,https://www.rottentomatoes.com/m/blackfish_2013/
13,BPM (Beats Per Minute) (120 battements par minute),2017,"In Paris in the early 1990s, a group of activists goes to battle for those stricken with HIV/AIDS, taking on",bpm.jpg,https://www.rottentomatoes.com/m/bpm/
14,Jane,2017,Drawing from over 100 hours of never-before-seen footage that has been tucked away in the National Geographic archives for over,jane.jpg,https://www.rottentomatoes.com/m/jane/
15,Whose Streets?,2017,"Told by the activists and leaders who live and breathe this movement for justice, Whose Streets? is an unflinching look",whose_streets.jpg,https://www.rottentomatoes.com/m/whose_streets/
16,Goldfinger,1964,"To many, the quintessential Bond film and a brilliant third entry in the series. Here Bond gets his Aston Martin,",goldfinger.jpg,https://www.rottentomatoes.com/m/goldfinger/
17,Dina,2017,"Dina's getting married in a few weeks and there's still so much to do. She has to move her boyfriend,",dina_2017.jpg,https://www.rottentomatoes.com/m/dina_2017/
18,Oh Lucy!,2018,"Setsuko is a single, emotionally unfulfilled woman, seemingly stuck with a drab, meaningless life in Tokyo. At least until she's",oh_lucy_2018.jpg,https://www.rottentomatoes.com/m/oh_lucy_2018/
19,Das Boot,1981,"It is 1942 and the German submarine fleet is heavily engaged in the so called ""Battle of the Atlantic"" to",das_boot.jpg,https://www.rottentomatoes.com/m/das_boot/
20,Leaning Into the Wind,2018,LEANING INTO THE WIND is a vibrant journey through the diverse layers of Andy Goldsworthy's world. From urban Edinburgh and,leaning_into_the_wind.jpg,https://www.rottentomatoes.com/m/leaning_into_the_wind/
21,Grave of the Fireflies (Hotaru no haka),1988,"Grave of the Fireflies opens on an evening in 1945, after Japan's surrender at the end of World War II;",grave_of_the_fireflies.jpg,https://www.rottentomatoes.com/m/grave_of_the_fireflies/
22,Mission: Impossible - Fallout,2018,The best intentions often come back to haunt you. MISSION: IMPOSSIBLE - FALLOUT finds Ethan Hunt (Tom Cruise) and his,mission_impossible_fallout.jpg,https://www.rottentomatoes.com/m/mission_impossible_fallout/
23,Booksmart,2019,"The story follows Dever and Feldstein's characters, two academic superstars and best friends who, on the eve of their high",booksmart.jpg,https://www.rottentomatoes.com/m/booksmart/
24,Three Identical Strangers,2018,"Three strangers are reunited by astonishing coincidence after being born identical triplets, separated at birth, and adopted by three different",three_identical_strangers.jpg,https://www.rottentomatoes.com/m/three_identical_strangers/
25,Chicken Run,2000,"A comedy drama set on a Yorkshire chicken farm in 1950s England, the story follows the turbulent romance between Rocky",chicken_run.jpg,https://www.rottentomatoes.com/m/chicken_run/
26,Free Solo,2018,"From award-winning documentary filmmaker E. Chai Vasarhelyi (""MERU"") and world-renowned photographer and mountaineer Jimmy Chin comes National Geographic Documentary Film's",free_solo.jpg,https://www.rottentomatoes.com/m/free_solo/
27,Lucky,2017,LUCKY follows the spiritual journey of a 90-year-old atheist and the quirky characters that inhabit his off the map desert,lucky_2017.jpg,https://www.rottentomatoes.com/m/lucky_2017/
28,Columbus,2017,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin (John Cho) finds himself stranded",columbus_2017.jpg,https://www.rottentomatoes.com/m/columbus_2017/
29,Border (Gräns),2018,Customs officer Tina is known for her extraordinary sense of smell. It's almost as if she can sniff out the,border_2018.jpg,https://www.rottentomatoes.com/m/border_2018/
30,The Guilty (Den skyldige),2018,"When police officer Asger Holm (Jakob Cedergren) is demoted to desk work, he expects a sleepy beat as an emergency",the_guilty_2018.jpg,https://www.rottentomatoes.com/m/the_guilty_2018/
31,Woman at War (Kona fer í stríð),2019,"Halla is a fifty-year-old independent woman. But behind the scenes of a quiet routine, she leads a double life as",woman_at_war.jpg,https://www.rottentomatoes.com/m/woman_at_war/
32,Toni Morrison: The Pieces I Am,2019,"This artful and intimate meditation on the legendary storyteller examines her life, her works and the powerful themes she has",toni_morrison_the_pieces_i_am.jpg,https://www.rottentomatoes.com/m/toni_morrison_the_pieces_i_am/
33,The Second Mother (Que Horas Ela Volta?),2015,Val spends 13 years working as nanny to Fabinho in Sao Paulo. She is financially stable but has to live,the_second_mother.jpg,https://www.rottentomatoes.com/m/the_second_mother/
34,Good Will Hunting,1997,"The most brilliant mind at America's top university isn't a student, he's the kid who cleans the floors. Will Hunting",good_will_hunting.jpg,https://www.rottentomatoes.com/m/good_will_hunting/
35,Pick of the Litter,2018,PICK OF THE LITTER follows a litter of puppies from the moment they're born and begin their quest to become,pick_of_the_litter.jpg,https://www.rottentomatoes.com/m/pick_of_the_litter/
36,The Cave,2019,"Oscar nominee Feras Fayyad (""Last Men in Aleppo"") delivers an unflinching story of the Syrian war with his powerful new",the_cave_2019.jpg,https://www.rottentomatoes.com/m/the_cave_2019/
37,True Grit,2010,Fourteen-year-old Mattie Ross (Hailee Steinfeld) joins an aging U.S. marshal (Jeff Bridges) and another lawman (Matt Damon) in tracking her,true_grit_2010.jpg,https://www.rottentomatoes.com/m/true_grit_2010/
38,Hunt for the Wilderpeople,2016,"Raised on hip-hop and foster care, defiant city kid Ricky gets a fresh start in the New Zealand countryside. He",hunt_for_the_wilderpeople.jpg,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/
39,Tangerine,2015,A working girl tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart. (C) Magnolia,tangerine_2015.jpg,https://www.rottentomatoes.com/m/tangerine_2015/
40,Little Men,2016,"When 13-year-old Jake's (Theo Taplitz) grandfather dies, his family moves from Manhattan back into his father's old Brooklyn home. There,",little_men_2016.jpg,https://www.rottentomatoes.com/m/little_men_2016/
41,Castle in the Sky,1989,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,castle_in_the_sky_1989.jpg,https://www.rottentomatoes.com/m/castle_in_the_sky_1989/
42,Mother (Madeo),2010,"Hye-ja is a single mom to 27-year-old Do-joon. Her son is her raison d'être. Though an adult in years, Do-joon",madeo.jpg,https://www.rottentomatoes.com/m/madeo/
43,The Beatles: Eight Days a Week - The Touring Years,2016,"We all know the moment. February 9th, 1964, 8:12pm EST - after a brief commercial break, four young men from",the_beatles_eight_days_a_week_the_touring_years.jpg,https://www.rottentomatoes.com/m/the_beatles_eight_days_a_week_the_touring_years/
44,GoodFellas,1990,"Martin Scorsese explores the life of organized crime with his gritty, kinetic adaptation of Nicolas Pileggi's best-selling Wiseguy, the true-life",1032176-goodfellas.jpg,https://www.rottentomatoes.com/m/1032176-goodfellas/
45,Little Woods,2019,"Little Woods, North Dakota, a fracking boomtown well beyond its prime. Ollie is trying to survive the last few days",little_woods.jpg,https://www.rottentomatoes.com/m/little_woods/
46,The Full Monty,1997,Six guys with nothing left to lose try losing their clothing for fun and profit in this international hit comedy.,full_monty.jpg,https://www.rottentomatoes.com/m/full_monty/
47,Jawline,2019,"The film follows 16-year-old Austyn Tester, a rising star in the live-broadcast ecosystem who built his following on wide-eyed optimism",jawline.jpg,https://www.rottentomatoes.com/m/jawline/
48,A Taxi Driver,2017,"In this powerful true story set in 1980, a down-on-his-luck taxi driver from Seoul is hired by a foreign journalist",a_taxi_driver_2017.jpg,https://www.rottentomatoes.com/m/a_taxi_driver_2017/
49,Escape From Alcatraz,1979,"No one can escape from Alcatraz, right? Try telling that to lifer Frank Morris (Clint Eastwood). This Donald Siegel-directed nailbiter",escape_from_alcatraz.jpg,https://www.rottentomatoes.com/m/escape_from_alcatraz/
50,A Quiet Place,2018,"In the modern horror thriller A QUIET PLACE, a family of four must navigate their lives in silence after mysterious",a_quiet_place_2018.jpg,https://www.rottentomatoes.com/m/a_quiet_place_2018/
51,If Beale Street Could Talk,2019,"Set in early-1970s Harlem, If Beale Street Could Talk is a timeless and moving love story of both a couple's",if_beale_street_could_talk.jpg,https://www.rottentomatoes.com/m/if_beale_street_could_talk/
52,Gods and Monsters,1998,"Hollywood history comes to life in this tale of the last days of Frankenstein director James Whale, played by Sir",gods_and_monsters.jpg,https://www.rottentomatoes.com/m/gods_and_monsters/
53,Dr. No,1962,James Bond's investigation of a missing colleague in Jamaica leads him to the island of the mysterious Dr. No and,dr_no.jpg,https://www.rottentomatoes.com/m/dr_no/
54,From Russia With Love,1964,Broccoli considered this as one of the best Fleming stories. Connery once again excelled and was well supported by a,from_russia_with_love.jpg,https://www.rottentomatoes.com/m/from_russia_with_love/
55,The Treasure,2016,A hunt for buried treasure sends two men on a surprising comic caper in this Cannes prize-winning charmer from acclaimed,the_treasure_2016.jpg,https://www.rottentomatoes.com/m/the_treasure_2016/
56,Dealt,2017,"One of the most renowned card magicians of all time, Richard Turner astounds audiences around the world with his legendary",dealt.jpg,https://www.rottentomatoes.com/m/dealt/
57,Gilbert,2017,"Gilbert Gottfried found fame in the 1980s, when he became widely known for his off-beat comedy and brash personality. He",gilbert.jpg,https://www.rottentomatoes.com/m/gilbert/
58,The Dark Knight,2008,"Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming",the_dark_knight.jpg,https://www.rottentomatoes.com/m/the_dark_knight/
